,colocal distance,merfish gene,guidestar gene,colocalisation counts
229,7.0,Gpam,Gpam,7656
230,7.0,Gpam,Hnf4a,3596
231,7.0,Gpam,Pigr,4007
232,7.0,Hnf4a,Acly,1063
233,7.0,Hnf4a,Gpam,850
234,7.0,Hnf4a,Hnf4a,8887
235,7.0,Hnf4a,Pigr,2624
236,7.0,Pigr,Acly,4635
237,7.0,Pigr,Gpam,2779
238,7.0,Pigr,Hnf4a,11063
239,7.0,Pigr,Pigr,35639
240,7.5,Acly,Acly,3077
241,7.5,Acly,Gpam,758
242,7.5,Acly,Hnf4a,1897
243,7.5,Acly,Pigr,2062
244,7.5,Gpam,Acly,1970
245,7.5,Gpam,Gpam,7726
246,7.5,Gpam,Hnf4a,3998
247,7.5,Gpam,Pigr,4379
248,7.5,Hnf4a,Acly,1212
249,7.5,Hnf4a,Gpam,970
250,7.5,Hnf4a,Hnf4a,9020
251,7.5,Hnf4a,Pigr,2877
252,7.5,Pigr,Acly,5276
253,7.5,Pigr,Gpam,3161
254,7.5,Pigr,Hnf4a,12367
255,7.5,Pigr,Pigr,36492
256,8.0,Acly,Acly,3133
257,8.0,Acly,Gpam,853
258,8.0,Acly,Hnf4a,2122
259,8.0,Acly,Pigr,2228
260,8.0,Gpam,Acly,2221
261,8.0,Gpam,Gpam,7836
262,8.0,Gpam,Hnf4a,4411
263,8.0,Gpam,Pigr,4722
264,8.0,Hnf4a,Acly,1362
265,8.0,Hnf4a,Gpam,1089
266,8.0,Hnf4a,Hnf4a,9159
267,8.0,Hnf4a,Pigr,3127
268,8.0,Pigr,Acly,5907
269,8.0,Pigr,Gpam,3582
270,8.0,Pigr,Hnf4a,13756
271,8.0,Pigr,Pigr,37390
272,8.5,Acly,Acly,3203
273,8.5,Acly,Gpam,945
274,8.5,Acly,Hnf4a,2362
275,8.5,Acly,Pigr,2404
276,8.5,Gpam,Acly,2457
277,8.5,Gpam,Gpam,7975
278,8.5,Gpam,Hnf4a,4848
279,8.5,Gpam,Pigr,5078
280,8.5,Hnf4a,Acly,1504
281,8.5,Hnf4a,Gpam,1211
282,8.5,Hnf4a,Hnf4a,9282
283,8.5,Hnf4a,Pigr,3362
284,8.5,Pigr,Acly,6581
285,8.5,Pigr,Gpam,3968
286,8.5,Pigr,Hnf4a,15179
287,8.5,Pigr,Pigr,38189
288,9.0,Acly,Acly,3285
289,9.0,Acly,Gpam,1051
290,9.0,Acly,Hnf4a,2593
291,9.0,Acly,Pigr,2618
292,9.0,Gpam,Acly,2675
293,9.0,Gpam,Gpam,8083
294,9.0,Gpam,Hnf4a,5295
295,9.0,Gpam,Pigr,5406
296,9.0,Hnf4a,Acly,1657
297,9.0,Hnf4a,Gpam,1320
298,9.0,Hnf4a,Hnf4a,9432
299,9.0,Hnf4a,Pigr,3641
300,9.0,Pigr,Acly,7265
301,9.0,Pigr,Gpam,4387
302,9.0,Pigr,Hnf4a,16669
303,9.0,Pigr,Pigr,38989
304,9.5,Acly,Acly,3348
305,9.5,Acly,Gpam,1144
306,9.5,Acly,Hnf4a,2834
307,9.5,Acly,Pigr,2790
308,9.5,Gpam,Acly,2908
309,9.5,Gpam,Gpam,8217
310,9.5,Gpam,Hnf4a,5769
311,9.5,Gpam,Pigr,5760
312,9.5,Hnf4a,Acly,1820
313,9.5,Hnf4a,Gpam,1459
314,9.5,Hnf4a,Hnf4a,9564
315,9.5,Hnf4a,Pigr,3900
316,9.5,Pigr,Acly,7968
317,9.5,Pigr,Gpam,4812
318,9.5,Pigr,Hnf4a,18090
319,9.5,Pigr,Pigr,39779
